trp,"speed_range",Count
83717V1126309,"from:0,to:15",2156
83717V1126309,"from:15,to:300",55423
86173V805748,"from:0,to:15",3789
86173V805748,"from:15,to:300",53758
14204V805611,"from:0,to:15",102
14204V805611,"from:15,to:300",57425
15903V180958,"from:0,to:15",50
15903V180958,"from:15,to:300",57260
44953V1885943,"from:0,to:15",1001
44953V1885943,"from:15,to:300",56303
08771V521381,"from:0,to:15",14
08771V521381,"from:15,to:300",57092
53953V704480,"from:0,to:15",2
53953V704480,"from:15,to:300",57001
66206V805614,"from:0,to:15",24
66206V805614,"from:15,to:300",56972
27025V443294,"from:0,to:15",0
27025V443294,"from:15,to:300",56745
77106V443404,"from:0,to:15",871
77106V443404,"from:15,to:300",55718
58648V248949,"from:0,to:15",1457
58648V248949,"from:15,to:300",54955
94845V521171,"from:0,to:15",1
94845V521171,"from:15,to:300",56347
64211V2520554,"from:0,to:15",2645
64211V2520554,"from:15,to:300",53651
73166V2312244,"from:0,to:15",0
73166V2312244,"from:15,to:300",56285
29403V625517,"from:0,to:15",12
29403V625517,"from:15,to:300",56215
16644V1175490,"from:0,to:15",621
16644V1175490,"from:15,to:300",55398
11219V22151,"from:0,to:15",4
11219V22151,"from:15,to:300",55952
38171V443606,"from:0,to:15",518
38171V443606,"from:15,to:300",55320
29133V1201961,"from:0,to:15",5
29133V1201961,"from:15,to:300",55806
38587V805074,"from:0,to:15",8
38587V805074,"from:15,to:300",55781
76019V704826,"from:0,to:15",1582
76019V704826,"from:15,to:300",53994
65405V1175503,"from:0,to:15",2866
65405V1175503,"from:15,to:300",52613
83942V1828479,"from:0,to:15",0
83942V1828479,"from:15,to:300",55475
67622V805008,"from:0,to:15",50
67622V805008,"from:15,to:300",55110
77457V384021,"from:0,to:15",556
77457V384021,"from:15,to:300",54539
66819V1175504,"from:0,to:15",581
66819V1175504,"from:15,to:300",54447
60256V2518809,"from:0,to:15",866
60256V2518809,"from:15,to:300",54020
98948V805142,"from:0,to:15",51
98948V805142,"from:15,to:300",54793
67944V1175469,"from:0,to:15",3887
67944V1175469,"from:15,to:300",50831
42608V249021,"from:0,to:15",341
42608V249021,"from:15,to:300",54073
05467V521165,"from:0,to:15",9
05467V521165,"from:15,to:300",54220
52295V2228379,"from:0,to:15",0
52295V2228379,"from:15,to:300",54129
61215V2782426,"from:0,to:15",348
61215V2782426,"from:15,to:300",53769
98682V444320,"from:0,to:15",61
98682V444320,"from:15,to:300",53915
01355V1702751,"from:0,to:15",12
01355V1702751,"from:15,to:300",53935
60303V930233,"from:0,to:15",143
60303V930233,"from:15,to:300",53724
60538V443575,"from:0,to:15",640
60538V443575,"from:15,to:300",53047
02466V1175469,"from:0,to:15",559
02466V1175469,"from:15,to:300",53077
68243V1175821,"from:0,to:15",2
68243V1175821,"from:15,to:300",53609
93392V248904,"from:0,to:15",74
93392V248904,"from:15,to:300",53454
06702V121764,"from:0,to:15",14
06702V121764,"from:15,to:300",53504
10153V1060058,"from:0,to:15",0
10153V1060058,"from:15,to:300",53500
